tweet_id,dog_types,month,retweet_count,favorite_count,rating
679527802031484928,pupper,December,648,2417,1.1
679503373272485890,pupper,December,1330,2903,0.8
678800283649069056,pupper,December,817,2348,1.2
678389028614488064,pupper,December,380,1708,1.1
678341075375947776,pupper,December,472,1570,1.2
678278586130948096,pupper,December,5469,10385,1.0
677557565589463040,pupper,December,1012,2215,1.0
677269281705472000,pupper,December,636,1794,1.0
676936541936185344,pupper,December,4415,11588,0.8
676819651066732545,pupper,December,599,1652,1.2
676617503762681856,pupper,December,854,2611,1.3
676603393314578432,pupper,December,339,1036,0.9
676575501977128964,pupper,December,985,2323,0.8
676470639084101634,pupper,December,4164,10547,1.1
676440007570247681,pupper,December,587,1559,1.1
676263575653122048,pupper,December,483,1889,1.0
675898130735476737,pupper,December,506,1441,1.0
675853064436391936,pupper,December,1132,2418,1.1
675845657354215424,pupper,December,775,2044,1.0
675820929667219457,pupper,December,206,954,1.1
675740360753160193,pupper,December,295,1056,1.2
675432746517426176,pupper,December,501,1358,1.2
675334060156301312,pupper,December,1127,2483,1.2
675113801096802304,pupper,December,686,1732,1.0
675006312288268288,pupper,December,200,873,1.0
674774481756377088,pupper,December,407,979,1.1
674737130913071104,pupper,December,80,580,1.0
674664755118911488,pupper,December,205,807,1.0
674638615994089473,pupper,December,509,1514,1.2
674447403907457024,pupper,December,314,954,1.0
674318007229923329,pupper,December,449,1250,0.8
674262580978937856,pupper,December,382,1175,0.9
674045139690631169,pupper,December,564,1267,0.3
674038233588723717,pupper,December,366,975,1.2
673956914389192708,pupper,December,833,1744,1.0
673919437611909120,pupper,December,325,1056,1.1
673707060090052608,pupper,December,346,986,1.0
673697980713705472,pupper,December,1691,3503,0.8
673656262056419329,pupper,December,198,650,1.0
673612854080196609,pupper,December,629,1425,0.7
673363615379013632,pupper,December,266,930,1.1
673342308415348736,pupper,December,492,1128,1.0
673295268553605120,pupper,December,2740,6707,0.8
673148804208660480,pupper,December,547,1486,0.8
672988786805112832,pupper,December,253,873,1.0
672975131468300288,pupper,December,775,1495,1.0
672970152493887488,pupper,December,302,836,0.7
672622327801233409,pupper,December,419,1146,1.2
672614745925664768,pupper,December,510,1085,0.6
672594978741354496,pupper,December,528,1175,0.9
672481316919734272,pupper,December,110,639,1.2
672254177670729728,pupper,December,647,1269,1.1
672205392827572224,pupper,December,1005,1978,0.9
672160042234327040,pupper,December,303,764,0.8
669993076832759809,pupper,November,70,284,0.9
